epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,26228.2,1.84256,1.42228,2.06252,1.5951,0.53593,0.42999,0.44211,0.21709,0.5125,0.41392,0.42101,0.19374,1.83877,1.42472,1.85394,1.54683,0.00092008,0.00092008,0.00092008
46,26766.4,1.84769,1.4284,2.06777,1.59287,0.53895,0.43001,0.44267,0.21733,0.51245,0.4147,0.4216,0.19411,1.8372,1.4241,1.85252,1.54668,0.000918264,0.000918264,0.000918264
47,27306.9,1.84271,1.44147,2.0654,1.59048,0.53612,0.4319,0.44323,0.21801,0.51311,0.4161,0.42196,0.19446,1.83574,1.42354,1.85165,1.54621,0.000916447,0.000916447,0.000916447
48,27845.6,1.84434,1.43249,2.05813,1.59503,0.53747,0.43375,0.44417,0.21801,0.51298,0.41682,0.42217,0.19489,1.83547,1.42523,1.85133,1.54628,0.000914631,0.000914631,0.000914631
49,28383.9,1.84543,1.4236,2.06971,1.59546,0.53434,0.43518,0.44477,0.21888,0.51208,0.41725,0.4225,0.19552,1.83477,1.42329,1.85102,1.54616,0.000912815,0.000912815,0.000912815
50,28925.4,1.84192,1.42327,2.06055,1.58587,0.53958,0.43326,0.44496,0.2191,0.51775,0.41536,0.42338,0.19588,1.83411,1.42412,1.85031,1.54534,0.000910998,0.000910998,0.000910998
51,29466.6,1.84081,1.43338,2.0505,1.59227,0.54264,0.43176,0.44579,0.2195,0.51906,0.41584,0.42389,0.19638,1.8339,1.42389,1.84972,1.5456,0.000909182,0.000909182,0.000909182
52,30005.1,1.83523,1.42608,2.03917,1.58896,0.54497,0.43196,0.44588,0.21977,0.52357,0.41447,0.42374,0.19634,1.83269,1.42334,1.84856,1.54502,0.000907365,0.000907365,0.000907365
53,30556.8,1.83564,1.42185,2.04333,1.58699,0.54705,0.43363,0.44635,0.21998,0.52262,0.41678,0.42405,0.19657,1.8322,1.42385,1.84838,1.54447,0.000905549,0.000905549,0.000905549
54,31182.7,1.83334,1.41677,2.04025,1.58134,0.54768,0.43319,0.4463,0.22012,0.52563,0.41548,0.42438,0.19719,1.83198,1.42382,1.84825,1.54398,0.000903733,0.000903733,0.000903733
55,31731.9,1.83526,1.43526,2.04362,1.58401,0.54913,0.43329,0.44644,0.2203,0.52691,0.41635,0.42439,0.19692,1.8309,1.4232,1.84825,1.54358,0.000901916,0.000901916,0.000901916
56,32273.4,1.83439,1.42639,2.04123,1.59025,0.54809,0.43332,0.4462,0.2205,0.52126,0.41838,0.42379,0.19713,1.83024,1.4217,1.84747,1.54348,0.0009001,0.0009001,0.0009001
57,32816.7,1.83717,1.414,2.03368,1.5806,0.54571,0.43381,0.44666,0.22107,0.52256,0.41805,0.42432,0.19766,1.83043,1.4225,1.84657,1.54321,0.000898284,0.000898284,0.000898284
58,33358.4,1.82952,1.41326,2.02615,1.57878,0.54762,0.43185,0.44688,0.22139,0.52455,0.41631,0.42476,0.19803,1.82903,1.42237,1.84598,1.54202,0.000896467,0.000896467,0.000896467
59,33898.5,1.8305,1.42019,2.02585,1.5813,0.54958,0.4309,0.44722,0.22191,0.52568,0.41476,0.42501,0.19857,1.82843,1.42187,1.84643,1.54134,0.000894651,0.000894651,0.000894651
60,34439.6,1.83024,1.41314,2.02705,1.58066,0.55172,0.43018,0.44792,0.22231,0.53046,0.41329,0.42557,0.1987,1.82816,1.42101,1.84549,1.54049,0.000892835,0.000892835,0.000892835
61,34981.2,1.82522,1.41171,2.01287,1.57725,0.55265,0.43096,0.44819,0.22232,0.52933,0.41554,0.42595,0.19893,1.82703,1.42011,1.84553,1.53952,0.000891018,0.000891018,0.000891018
62,35522.1,1.8279,1.41768,2.02646,1.57879,0.55623,0.42992,0.44939,0.2231,0.53327,0.41501,0.42776,0.19959,1.82629,1.41749,1.84518,1.53913,0.000889202,0.000889202,0.000889202
